"","client","x_cord","y_cord"
"1",1,-0.358397690579295,-5.2074116980657
"2",2,1.99131650850177,-8.82131245452911
"3",3,-0.129173859022558,2.84576517064124
"4",4,-6.27564797177911,7.52538425382227
"5",5,6.54746637213975,5.57829354889691
"6",6,3.36933476384729,5.94617651775479
"7",7,5.88479721453041,-0.894510927610099
"8",8,-7.84112748224288,-1.79831835906953
"9",9,4.47421892080456,6.21740485541523
"10",10,-1.77451140712947,2.09866580553353
"11",11,6.41892588231713,3.09447856154293
"12",12,2.9412038763985,-2.93605456128716
"13",13,5.6586552457884,-4.59479708224535
"14",14,1.06072623282671,9.85368122346699
"15",15,0.594391603954136,2.66986528877169
"16",16,5.78712463378906,-5.73583729565144
"17",17,-9.53337595332414,-7.4125530384481
"18",18,-0.455398699268699,-0.437639313749969
"19",19,4.646274773404,8.48148939665407
"20",20,3.85463112965226,1.9752193428576
"21",21,-0.447607557289302,9.52341389842331
"22",22,7.22418953664601,4.63585023768246
"23",23,-1.23805785551667,-2.86546175833791
"24",24,-5.10405445937067,-1.37052618898451
"25",25,-8.58641905710101,-7.03576878644526
"26",26,-8.01067679654807,-9.73844849038869
"27",27,-3.674565856345,4.31132132187486
"28",28,0.372685263864696,-7.93631528504193
"29",29,3.24010152835399,-1.07431302778423
"30",30,-1.86339625623077,2.80202090274543
"31",31,8.25751848518848,9.83677240088582
"32",32,-4.12793254479766,-0.0881284428760409
"33",33,-0.818685474805534,-0.313009512610734
"34",34,-3.35210651624948,-6.53115330263972
"35",35,3.0174093414098,5.09641889017075
"36",36,-4.83966438565403,-0.922090215608478
"37",37,-0.429095034487545,0.223395675420761
"38",38,5.32621341291815,-5.84909773431718
"39",39,-8.31506171263754,-5.42683714535087
"40",40,7.50642660073936,1.91423992626369
"41",41,-3.21854124311358,1.49744396563619
"42",42,6.78880700375885,-8.45871239434928
"43",43,-3.06633021682501,-9.28918840829283
"44",44,-3.32450138404965,2.85590984392911
"45",45,-0.472975098527968,8.57230399269611
"46",46,7.84396671690047,1.96184844709933
"47",47,7.28678941261023,1.21801496017724
"48",48,-2.20020913053304,0.520554478280246
"49",49,5.54641397669911,9.70190447755158
"50",50,9.21235994435847,0.152836446650326
"51",51,-1.30681030452251,3.65576157346368
"52",52,4.25029357429594,2.03082435298711
"53",53,-2.00011262204498,-5.22262644488364
"54",54,-3.49295696243644,-4.83668146654963
"55",55,5.14174296054989,4.58619246724993
"56",56,-5.94615489710122,-0.948583371937275
"57",57,4.22242444939911,-6.49746463168412
"58",58,-7.56616157945246,4.93396539241076
"59",59,-5.09022972080857,-7.90024719201028
"60",60,-7.13391241151839,7.29089898057282
